agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count
15,3.697449648706734e-05,0.2,0.5771324013523094,0.34629423060998044,1.06,2.4105474993789233,0,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
1,0.14984511474643689,0.2,0.09223636469067262,0.11527986471297832,1.22,1.6695914723806153,0,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
2,0.4737265966771876,0.2,0.07651918160605413,0.2354021476345075,1.3800000000000001,2.2980683757745792,0,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
3,0.231964695539853,0.2,0.05770990332660365,0.1274118202119034,1.1400000000000001,1.6369060988264232,0,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
4,0.14442661854003544,0.2,0.19640214902436012,0.17561193683063026,1.3,1.984886553639458,0,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
15,1.0,0.524429836489735,1.0,1.0,1.06,10.0,0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1
3,0.7469625668031568,0.2,0.0413183405695778,0.3235760310630094,1.1400000000000001,3.586234794836351,1,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
4,0.2530374331968432,0.2,0.9586816594304223,0.6764239689369906,1.3,6.4137652051636485,1,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
2,0.4936715298710178,0.2,0.9025801740575756,0.7390167163829525,1.3800000000000001,6.907845038544484,3,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
3,0.5063284701289821,0.2,0.09741982594242439,0.2609832836170475,1.1400000000000001,3.092154961455515,3,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
15,4.3845710194547666e-05,0.2,0.3567791034505506,0.21408500035440817,1.06,1.894931501382192,4,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
1,0.20936326927390417,0.2,0.3973841349564777,0.32217578868344826,1.22,2.476485575865448,4,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
2,0.30968159678506796,0.2,0.10646509254522492,0.18775169424116214,1.3800000000000001,2.1122316075405325,4,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
3,0.14790500406918805,0.2,0.06976170097728843,0.10101902221404828,1.1400000000000001,1.5339741866347882,4,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
4,0.3330062841616452,0.2,0.0696099680704584,0.1749684945069331,1.3,1.982377128577039,4,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
15,6.573631677989246e-05,0.3396452422810033,0.49023439927180473,0.2941669340897948,1.06,2.5896680572669326,4,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1
1,0.3138909172641188,0.2954434627082645,0.02748201440531833,0.1420455755488385,1.22,1.9586369928539602,4,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1
2,0.4642946244190987,0.32457680313600845,0.47395623642072515,0.4700915916200746,1.3800000000000001,3.824476276424387,4,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1
3,0.2217487220000026,0.021180989582273803,0.008327349902151773,0.09369589874129211,1.1400000000000001,1.6272186734547192,4,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1
3,1.0,0.2,1.0,1.0,1.1400000000000001,10.0,5,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
3,1.0,0.2,1.0,1.0,1.1400000000000001,10.0,6,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
15,1.7531970869868338e-05,0.14764879209837617,0.16220514537063013,0.09733010001072602,1.06,1.4395873900418314,6,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1
1,0.06596544496746644,0.09266909931930484,0.2010464921699608,0.14701407328896304,1.22,1.7933548858269557,6,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1
2,0.2104490459798888,0.05721998719509884,0.13659129202533213,0.16613439360715482,1.3800000000000001,2.027924135067904,6,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1
3,0.4360783805935065,0.5840005812278555,0.4537915893885279,0.4467063058705194,1.1400000000000001,2.8821545928950254,6,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1
4,0.2874895964882684,0.11846154015936469,0.04636548104554906,0.14281512722263678,1.3,1.8569789961682834,6,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1
15,5.1997864188056995e-05,0.2,0.2760122239937806,0.16562813354194358,1.06,1.7059497208135799,7,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
1,0.1921260360658335,0.2,0.25052791774248895,0.22716716507182677,1.22,2.1059519437801244,7,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
2,0.177482230602197,0.2,0.16605377560248016,0.1706251576023669,1.3800000000000001,2.045438114649231,7,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
3,0.34317242462192676,0.2,0.153309377435333,0.2292545963099705,1.1400000000000001,2.034092925608885,7,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
4,0.2871673108458547,0.2,0.15409670522591734,0.2073249474738923,1.3,2.10856729514818,7,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1
