agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count
15,3.697449648706734e-05,0.2,0.23520731095522956,0.14113917637173254,1.06,1.610442787849757,0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1
1,0.14984511474643689,0.2,0.0964591635747378,0.11781354404341743,1.22,1.6794728217693278,0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1
2,0.4737265966771876,0.2,0.28845635310294315,0.3625644505326409,1.3800000000000001,2.7940013570772995,0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1
3,0.231964695539853,0.2,0.18676799215673873,0.20484667350998442,1.1400000000000001,1.9389020266889392,0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1
4,0.14442661854003544,0.2,0.1931091802103508,0.17363615554222467,1.3,1.9771810066146762,0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1
15,3.697449648706734e-05,0.2,0.23520731095522956,0.14113917637173254,1.06,1.610442787849757,0,2,0.3,0.0,uniform,0,uniform,0.0,adaptive,controlled,5,1
1,0.14984511474643689,0.2,0.0964591635747378,0.11781354404341743,1.22,1.6794728217693278,0,2,0.3,0.0,uniform,0,uniform,0.0,adaptive,controlled,5,1
2,0.4737265966771876,0.2,0.28845635310294315,0.3625644505326409,1.3800000000000001,2.7940013570772995,0,2,0.3,0.0,uniform,0,uniform,0.0,adaptive,controlled,5,1
3,0.231964695539853,0.2,0.18676799215673873,0.20484667350998442,1.1400000000000001,1.9389020266889392,0,2,0.3,0.0,uniform,0,uniform,0.0,adaptive,controlled,5,1
4,0.14442661854003544,0.2,0.1931091802103508,0.17363615554222467,1.3,1.9771810066146762,0,2,0.3,0.0,uniform,0,uniform,0.0,adaptive,controlled,5,1
15,3.697449648706734e-05,0.2,0.23520731095522956,0.14113917637173254,1.06,1.610442787849757,0,2,0.3,0.0,uniform,0,uniform,0.0,guarded,controlled,5,1
1,0.14984511474643689,0.2,0.0964591635747378,0.11781354404341743,1.22,1.6794728217693278,0,2,0.3,0.0,uniform,0,uniform,0.0,guarded,controlled,5,1
2,0.4737265966771876,0.2,0.28845635310294315,0.3625644505326409,1.3800000000000001,2.7940013570772995,0,2,0.3,0.0,uniform,0,uniform,0.0,guarded,controlled,5,1
3,0.231964695539853,0.2,0.18676799215673873,0.20484667350998442,1.1400000000000001,1.9389020266889392,0,2,0.3,0.0,uniform,0,uniform,0.0,guarded,controlled,5,1
4,0.14442661854003544,0.2,0.1931091802103508,0.17363615554222467,1.3,1.9771810066146762,0,2,0.3,0.0,uniform,0,uniform,0.0,guarded,controlled,5,1
15,3.697449648706734e-05,0.23627487483148668,0.23631359692580126,0.14180294795407555,1.06,1.6130314970208945,0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
1,0.14984511474643689,0.09331957541290337,0.09320569798447477,0.11586146468925962,1.22,1.6718597122881125,0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
2,0.4737265966771876,0.29113854622238455,0.2912358332674511,0.36423213863134574,1.3800000000000001,2.800505340662248,0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
3,0.231964695539853,0.18636676828588472,0.1863522153126023,0.20459720740350257,1.1400000000000001,1.9379291088736599,0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
4,0.14442661854003544,0.19290023524734068,0.19289265650967058,0.17350624132181652,1.3,1.9766743411550844,0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
15,3.697449648706734e-05,0.23528708652280733,0.23517163524389867,0.14111777094493402,1.06,1.6103593066852426,0,2,0.3,0.0,uniform,0,uniform,0.5,adaptive,controlled,5,1
