seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,round,agent_id,is_poisoned,reputation_share,optimization_before,marginal_contribution,positive_contribution,contribution_share,optimization_after
0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,0,15,True,3.697449648706734e-05,0.2,0.041939073801040644,0.041939073801040644,0.23520731095522956,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,0,1,False,0.14984511474643689,0.2,0.01677131950855255,0.01677131950855255,0.0964591635747378,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,0,2,False,0.4737265966771876,0.2,0.05159800499677658,0.05159800499677658,0.28845635310294315,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,0,3,False,0.231964695539853,0.2,0.03315258622169495,0.03315258622169495,0.18676799215673873,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,0,4,False,0.14442661854003544,0.2,0.034302824735641474,0.034302824735641474,0.1931091802103508,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,adaptive,controlled,5,1,0,15,True,3.697449648706734e-05,0.2,0.041939073801040644,0.041939073801040644,0.23520731095522956,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,adaptive,controlled,5,1,0,1,False,0.14984511474643689,0.2,0.01677131950855255,0.01677131950855255,0.0964591635747378,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,adaptive,controlled,5,1,0,2,False,0.4737265966771876,0.2,0.05159800499677658,0.05159800499677658,0.28845635310294315,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,adaptive,controlled,5,1,0,3,False,0.231964695539853,0.2,0.03315258622169495,0.03315258622169495,0.18676799215673873,0.2
0,2,0.3,0.0,uniform,0,uniform,0.0,adaptive,controlled,5,1,0,4,False,0.14442661854003544,0.2,0.034302824735641474,0.034302824735641474,0.1931091802103508,0.2
