seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,round,agent_id,is_poisoned,reputation_share,optimization_before,marginal_contribution,positive_contribution,leave_one_out_optimization_loss,leave_one_out_engine,leave_one_out_engine_losses,contribution_share,optimization_after
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,0,15,True,3.697449648706734e-05,0.2,0.01048244535923004,0.01048244535923004,0.025510168075561526,custom,"{""bfgs"": 0.06151980012655258, ""custom"": 0.025510168075561526}",0.5771324013523095,0.38856620067615466
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,0,1,False,0.14984511474643689,0.2,0.001613820592562357,0.001613820592562357,0.019542540609836578,custom,"{""bfgs"": 0.036352045834064484, ""custom"": 0.019542540609836578}",0.09223636469067263,0.1461181823453363
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,0,2,False,0.4737265966771876,0.2,0.0013263573249181117,0.0013263573249181117,0.019620251655578617,custom,"{""bfgs"": 0.07117873132228851, ""custom"": 0.019620251655578617}",0.07651918160605414,0.13825959080302705
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,0,3,False,0.231964695539853,0.2,0.0009823404252529127,0.0009823404252529127,0.019717014580965045,custom,"{""bfgs"": 0.05273331254720688, ""custom"": 0.019717014580965045}",0.05770990332660366,0.1288549516633018
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,0,4,False,0.14442661854003544,0.2,0.0035189862052599583,0.0035189862052599583,0.01964917629957199,custom,"{""bfgs"": 0.05388355106115342, ""custom"": 0.01964917629957199}",0.19640214902436018,0.19820107451218005
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,1,15,True,3.697449648706734e-05,0.38856620067615466,0.006814837455749512,0.006814837455749512,0.017876402138638288,custom,"{""bfgs"": 0.060444433340380965, ""custom"": 0.017876402138638288}",0.848873919376264,0.6187200600262094
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,1,1,False,0.14984511474643689,0.1461181823453363,-4.262973864875563e-06,0.0,0.013575161187966865,custom,"{""bfgs"": 0.03747213710412763, ""custom"": 0.013575161187966865}",0.004,0.07505909117266817
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,1,2,False,0.4737265966771876,0.13825959080302705,0.0010899404684702532,0.0010899404684702532,0.013810589247661499,custom,"{""bfgs"": 0.08018616906813081, ""custom"": 0.013810589247661499}",0.13912608062373596,0.13869283571338153
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,1,3,False,0.231964695539853,0.1288549516633018,-2.117206652959419e-05,0.0,0.013584900130556413,custom,"{""bfgs"": 0.057019264570501105, ""custom"": 0.013584900130556413}",0.004,0.06642747583165091
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,1,4,False,0.14442661854003544,0.19820107451218005,-1.7856558163983904e-06,0.0,0.013575015652300565,custom,"{""bfgs"": 0.044221883973439596, ""custom"": 0.013575015652300565}",0.004,0.10110053725609004
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,2,15,True,3.697449648706734e-05,0.6187200600262094,0.02936229854822159,0.02936229854822159,0.019729257966341604,custom,"{""bfgs"": 0.059106820505246266, ""custom"": 0.019729257966341604}",0.3909030462859117,0.5048115531560605
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,2,1,False,0.14984511474643689,0.07505909117266817,0.00196355829636256,0.00196355829636256,0.008129156305689405,custom,"{""bfgs"": 0.04023527973055018, ""custom"": 0.008129156305689405}",0.029873542739679803,0.052466316956173986
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,2,2,False,0.4737265966771876,0.13869283571338153,0.0012364201247692108,0.0012364201247692108,0.00791977629820648,custom,"{""bfgs"": 0.09209427055880771, ""custom"": 0.00791977629820648}",0.02029214116111454,0.07949248843724804
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,2,3,False,0.231964695539853,0.06642747583165091,0.009454979250828426,0.009454979250828426,0.011105204132664049,custom,"{""bfgs"": 0.060413536457129186, ""custom"": 0.011105204132664049}",0.12858698588286002,0.09750723085725546
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,2,4,False,0.14442661854003544,0.10110053725609004,0.03235551714897156,0.03235551714897156,0.02191051252621752,custom,"{""bfgs"": 0.03365378599300192, ""custom"": 0.02191051252621752}",0.4303442839304339,0.26572241059326196
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,3,15,True,3.697449648706734e-05,0.5048115531560605,0.00745450456937154,0.00745450456937154,0.012342784084138584,custom,"{""bfgs"": 0.06475767023510814, ""custom"": 0.012342784084138584}",0.8210594427004656,0.662935497928263
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,3,1,False,0.14984511474643689,0.052466316956173986,-6.121893723828875e-07,0.0,0.007235086696727978,custom,"{""bfgs"": 0.038037821621164064, ""custom"": 0.007235086696727978}",0.004,0.028233158478086988
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,3,2,False,0.4737265966771876,0.07949248843724804,0.0010602809488773346,0.0010602809488773346,0.007497616223146944,custom,"{""bfgs"": 0.08991524680232457, ""custom"": 0.007497616223146944}",0.12021329803124277,0.09985289323424537
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,3,3,False,0.231964695539853,0.09750723085725546,-3.3042083183925514e-05,0.0,0.007257863636312727,custom,"{""bfgs"": 0.06279621284436776, ""custom"": 0.007257863636312727}",0.004,0.05075361542862772
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,3,4,False,0.14442661854003544,0.26572241059326196,0.00042631973822911465,0.00042631973822911465,0.007289406915207557,custom,"{""bfgs"": 0.04468926476814193, ""custom"": 0.007289406915207557}",0.05072725926829165,0.15822483493077677
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,4,15,True,3.697449648706734e-05,0.662935497928263,0.018206703166166942,0.018206703166166942,0.011751821208506222,custom,"{""bfgs"": 0.0617312916978724, ""custom"": 0.011751821208506222}",0.31825073293355605,0.49059311543090955
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,4,1,False,0.14984511474643689,0.028233158478086988,0.00026026864846547676,0.00026026864846547676,0.004627674840890555,custom,"{""bfgs"": 0.04012806660480549, ""custom"": 0.004627674840890555}",0.008492280276853729,0.01836271937747036
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,4,2,False,0.4737265966771876,0.09985289323424537,-1.862645149230957e-07,0.0,0.004629619631682961,custom,"{""bfgs"": 0.09644459158268126, ""custom"": 0.004629619631682961}",0.004,0.05192644661712269
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,4,3,False,0.231964695539853,0.05075361542862772,0.0071875999371210746,0.0071875999371210746,0.008035810462424051,custom,"{""bfgs"": 0.06354209420761718, ""custom"": 0.008035810462424051}",0.12805917357244442,0.08940639450053607
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,4,4,False,0.14442661854003544,0.15822483493077677,0.031123558680216473,0.031123558680216473,0.022376073045331055,custom,"{""bfgs"": 0.0433512589245621, ""custom"": 0.022376073045331055}",0.5411978132171458,0.34971132407396127
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,5,15,True,3.697449648706734e-05,0.49059311543090955,0.00971870869398117,0.00971870869398117,0.01282031502136003,custom,"{""bfgs"": 0.06800015451214281, ""custom"": 0.01282031502136003}",0.8383799958727053,0.6644865556518075
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,5,1,False,0.14984511474643689,0.01836271937747036,-0.00013958414395650112,0.0,0.004984601512541538,custom,"{""bfgs"": 0.037046470676887475, ""custom"": 0.004984601512541538}",0.004,0.011181359688735182
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,5,2,False,0.4737265966771876,0.05192644661712269,8.369485537222665e-07,8.369485537222665e-07,0.005044523947095514,custom,"{""bfgs"": 0.09149648227277542, ""custom"": 0.005044523947095514}",0.004071854518207026,0.02799915056766486
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,5,3,False,0.231964695539853,0.08940639450053607,0.0003588621815045698,0.0003588621815045698,0.005085172532530649,custom,"{""bfgs"": 0.06501428312369077, ""custom"": 0.005085172532530649}",0.03480938373099807,0.062107889115767076
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,5,4,False,0.14442661854003544,0.34971132407396127,0.0013364565869172437,0.0013364565869172437,0.0055202433875534305,custom,"{""bfgs"": 0.05338078099048282, ""custom"": 0.0055202433875534305}",0.11873876587808961,0.23422504497602548
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,6,15,True,3.697449648706734e-05,0.6644865556518075,0.017573436101277668,0.017573436101277668,0.01309969371527365,custom,"{""bfgs"": 0.06365149162988591, ""custom"": 0.01309969371527365}",0.38754694195031125,0.5260167488010594
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,6,1,False,0.14984511474643689,0.011181359688735182,-0.0035107086102167777,0.0,0.003270245575308015,custom,"{""bfgs"": 0.03978199974003314, ""custom"": 0.003270245575308015}",0.004,0.007590679844367591
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,6,2,False,0.4737265966771876,0.02799915056766486,-0.0031220242381095886,0.0,0.0035591651201276825,custom,"{""bfgs"": 0.09763944726038815, ""custom"": 0.0035591651201276825}",0.004,0.015999575283832432
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,6,3,False,0.231964695539853,0.062107889115767076,-0.00010073184967041016,0.0,0.0056147559480984,custom,"{""bfgs"": 0.06615182039343565, ""custom"": 0.0056147559480984}",0.004,0.03305394455788354
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,6,4,False,0.14442661854003544,0.23422504497602548,0.027328414221604664,0.027328414221604664,0.02424963343958072,custom,"{""bfgs"": 0.03745880040880772, ""custom"": 0.02424963343958072}",0.6004530580496887,0.4173390515128571
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,7,15,True,3.697449648706734e-05,0.5260167488010594,0.00981118530035019,0.00981118530035019,0.01100668500185489,custom,"{""bfgs"": 0.06777678569445661, ""custom"": 0.01100668500185489}",0.9819266891233518,0.7539717189622056
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,7,1,False,0.14984511474643689,0.007590679844367591,-0.0001782874266306536,0.0,0.0019494384427628613,custom,"{""bfgs"": 0.03571334566963317, ""custom"": 0.0019494384427628613}",0.004,0.0057953399221837955
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,7,2,False,0.4737265966771876,0.015999575283832432,2.0800779263179664e-05,2.0800779263179664e-05,0.0019278769423659607,custom,"{""bfgs"": 0.09250775363026591, ""custom"": 0.0019278769423659607}",0.006073310876648198,0.011036443080240314
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,7,3,False,0.231964695539853,0.03305394455788354,-0.0001374135414759295,0.0,0.0019193070572012852,custom,"{""bfgs"": 0.06660239241717936, ""custom"": 0.0019193070572012852}",0.004,0.018526972278941768
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,7,4,False,0.14442661854003544,0.4173390515128571,-0.00013979772726694512,0.0,0.0019208771678520162,custom,"{""bfgs"": 0.04837698335353691, ""custom"": 0.0019208771678520162}",0.004,0.21066952575642856
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,8,15,True,3.697449648706734e-05,0.7539717189622056,0.011797919869422909,0.011797919869422909,0.007856983135664571,custom,"{""bfgs"": 0.06140287790886099, ""custom"": 0.007856983135664571}",0.2730123027581549,0.5134920108601803
