seed,dimension,poison_ratio,target,initialization,evaluator,update_rate,round,agent_id,is_poisoned,reputation_share,optimization_before,marginal_contribution,positive_contribution,contribution_share,optimization_after
0,2,0.0,0.0,stage0,optimization,0.0,0,9,False,0.3778305024468295,0.37783050244682936,0.15206191618545015,0.15206191618545015,0.8735972867893501,0.37783050244682936
0,2,0.0,0.0,stage0,optimization,0.0,0,19,False,0.36617131850435053,0.3661713185043505,0.018680809871543528,0.018680809871543528,0.11316911312130874,0.3661713185043505
0,2,0.0,0.0,stage0,optimization,0.0,0,16,False,0.2559981790488201,0.25599817904882005,0.00115185743418874,0.00115185743418874,0.013233600089341208,0.25599817904882005
0,2,0.0,0.0,stage0,optimization,0.3,0,9,False,0.3778305024468295,0.37783050244682936,0.15206191618545015,0.15206191618545015,0.8735972867893501,0.5265605377495857
0,2,0.0,0.0,stage0,optimization,0.3,0,19,False,0.36617131850435053,0.3661713185043505,0.018680809871543528,0.018680809871543528,0.11316911312130874,0.29027065688943804
0,2,0.0,0.0,stage0,optimization,0.3,0,16,False,0.2559981790488201,0.25599817904882005,0.00115185743418874,0.00115185743418874,0.013233600089341208,0.1831688053609764
0,2,0.0,0.0,stage0,optimization,0.3,1,9,False,0.3778305024468295,0.5265605377495857,0.1523132186949726,0.1523132186949726,0.8448525505351977,0.6220481415852692
0,2,0.0,0.0,stage0,optimization,0.3,1,19,False,0.36617131850435053,0.29027065688943804,0.02136733406716083,0.02136733406716083,0.12425198161470224,0.24046505430701728
0,2,0.0,0.0,stage0,optimization,0.3,1,16,False,0.2559981790488201,0.1831688053609764,0.004402802247559855,0.004402802247559855,0.030895467850100135,0.1374868041077135
0,2,0.0,0.0,stage0,optimization,0.3,2,9,False,0.3778305024468295,0.6220481415852692,0.14947744827180104,0.14947744827180104,0.7425654295038201,0.6582033279608345
0,2,0.0,0.0,stage0,optimization,0.3,2,19,False,0.36617131850435053,0.24046505430701728,0.020114241687856454,0.020114241687856454,0.1056919426841291,0.20003312082015082
0,2,0.0,0.0,stage0,optimization,0.3,2,16,False,0.2559981790488201,0.1374868041077135,0.029468162704860777,0.029468162704860777,0.1517426278120509,0.1417635512190147
0,2,0.0,0.0,stage0,optimization,0.3,3,9,False,0.3778305024468295,0.6582033279608345,0.15036049179773567,0.15036049179773567,0.861667628897611,0.7192426182418674
0,2,0.0,0.0,stage0,optimization,0.3,3,19,False,0.36617131850435053,0.20003312082015082,0.021982334083177634,0.021982334083177634,0.1316657044357224,0.1795228959048223
0,2,0.0,0.0,stage0,optimization,0.3,3,16,False,0.2559981790488201,0.1417635512190147,-0.00258703196886687,0.0,0.006666666666666667,0.1012344858533103
0,2,0.0,0.0,stage0,optimization,0.3,4,9,False,0.3778305024468295,0.7192426182418674,0.1508170981170691,0.1508170981170691,0.7826213580295553,0.7382562401781738
0,2,0.0,0.0,stage0,optimization,0.3,4,19,False,0.36617131850435053,0.1795228959048223,0.023248098935961865,0.023248098935961865,0.1262782469175038,0.16354950120862677
0,2,0.0,0.0,stage0,optimization,0.3,4,16,False,0.2559981790488201,0.1012344858533103,0.016410816301730913,0.016410816301730913,0.09110039505294083,0.09819425861319947
0,2,0.0,0.0,stage0,optimization,0.3,5,9,False,0.3778305024468295,0.7382562401781738,0.15116690506624006,0.15116690506624006,0.8522915681241695,0.7724668385619725
0,2,0.0,0.0,stage0,optimization,0.3,5,19,False,0.36617131850435053,0.16354950120862677,0.024021368965872585,0.024021368965872585,0.1410417652091638,0.15679718040878787
0,2,0.0,0.0,stage0,optimization,0.3,5,16,False,0.2559981790488201,0.09819425861319947,-0.0023397529813462556,0.0,0.006666666666666667,0.07073598102923963
0,2,0.0,0.0,stage0,uniform,0.0,0,9,False,0.3778305024468295,0.37783050244682936,0.15252912766300142,0.15252912766300142,0.7516973276919757,0.37783050244682936
0,2,0.0,0.0,stage0,uniform,0.0,0,19,False,0.36617131850435053,0.3661713185043505,0.019412735865140956,0.019412735865140956,0.10148844697521531,0.3661713185043505
0,2,0.0,0.0,stage0,uniform,0.0,0,16,False,0.2559981790488201,0.25599817904882005,0.02869222165706257,0.02869222165706257,0.14681422533280905,0.25599817904882005
0,2,0.0,0.0,stage0,uniform,0.3,0,9,False,0.3778305024468295,0.37783050244682936,0.15252912766300142,0.15252912766300142,0.7516973276919757,0.4899905500203733
0,2,0.0,0.0,stage0,uniform,0.3,0,19,False,0.36617131850435053,0.3661713185043505,0.019412735865140956,0.019412735865140956,0.10148844697521531,0.28676645704561
0,2,0.0,0.0,stage0,uniform,0.3,0,16,False,0.2559981790488201,0.25599817904882005,0.02869222165706257,0.02869222165706257,0.14681422533280905,0.22324299293401675
0,2,0.0,0.0,stage0,uniform,0.3,1,9,False,0.3778305024468295,0.4899905500203733,0.15243257000111043,0.15243257000111043,0.752302229750453,0.5686840539393971
0,2,0.0,0.0,stage0,uniform,0.3,1,19,False,0.36617131850435053,0.28676645704561,0.019316178203249972,0.019316178203249972,0.10115322824010292,0.23108248840395784
0,2,0.0,0.0,stage0,uniform,0.3,1,16,False,0.2559981790488201,0.22324299293401675,0.028595663995171588,0.028595663995171588,0.1465445420094441,0.20023345765664496
0,2,0.0,0.0,stage0,uniform,0.3,2,9,False,0.3778305024468295,0.5686840539393971,0.14740746926205853,0.14740746926205853,0.7863936264958526,0.6339969257063338
0,2,0.0,0.0,stage0,uniform,0.3,2,19,False,0.36617131850435053,0.23108248840395784,0.014291077464198075,0.014291077464198075,0.08226078981135258,0.18643597882617624
0,2,0.0,0.0,stage0,uniform,0.3,2,16,False,0.2559981790488201,0.20023345765664496,0.02357056325611969,0.02357056325611969,0.13134558369279475,0.1795670954674899
0,2,0.0,0.0,stage0,uniform,0.3,3,9,False,0.3778305024468295,0.6339969257063338,0.1474074358896663,0.1474074358896663,0.7863938713242646,0.6797160093917131
0,2,0.0,0.0,stage0,uniform,0.3,3,19,False,0.36617131850435053,0.18643597882617624,0.014291044091805816,0.014291044091805816,0.08226065413472625,0.15518338141874125
0,2,0.0,0.0,stage0,uniform,0.3,3,16,False,0.2559981790488201,0.1795670954674899,0.02357052988372743,0.02357052988372743,0.13134547454100917,0.1651006091895457
0,2,0.0,0.0,stage0,uniform,0.3,4,9,False,0.3778305024468295,0.6797160093917131,0.14740744566855332,0.14740744566855332,0.7863937995838188,0.7117193464493449
0,2,0.0,0.0,stage0,uniform,0.3,4,19,False,0.36617131850435053,0.15518338141874125,0.01429105387069285,0.01429105387069285,0.0822606938911482,0.13330657516046335
0,2,0.0,0.0,stage0,uniform,0.3,4,16,False,0.2559981790488201,0.1651006091895457,0.023570539662614465,0.023570539662614465,0.131345506525033,0.1549740783901919
0,2,0.0,0.0,stage0,uniform,0.3,5,9,False,0.3778305024468295,0.7117193464493449,0.14740744380590817,0.14740744380590817,0.7863938132486639,0.7341216864891406
0,2,0.0,0.0,stage0,uniform,0.3,5,19,False,0.36617131850435053,0.13330657516046335,0.0142910520080477,0.0142910520080477,0.08226068631849738,0.11799280850787357
0,2,0.0,0.0,stage0,uniform,0.3,5,16,False,0.2559981790488201,0.1549740783901919,0.023570537799969316,0.023570537799969316,0.13134550043283874,0.14788550500298597
0,2,0.0,0.0,uniform,optimization,0.0,0,9,False,0.3778305024468295,0.3333333333333333,0.15244526330692074,0.15244526330692074,0.7522226105141958,0.3333333333333333
0,2,0.0,0.0,uniform,optimization,0.0,0,19,False,0.36617131850435053,0.3333333333333333,0.01932887150906026,0.01932887150906026,0.10119735085349908,0.3333333333333333
0,2,0.0,0.0,uniform,optimization,0.0,0,16,False,0.2559981790488201,0.3333333333333333,0.028608357300981876,0.028608357300981876,0.1465800386323051,0.3333333333333333
0,2,0.0,0.0,uniform,optimization,0.3,0,9,False,0.3778305024468295,0.3333333333333333,0.15244526330692074,0.15244526330692074,0.7522226105141958,0.45900011648759215
0,2,0.0,0.0,uniform,optimization,0.3,0,19,False,0.36617131850435053,0.3333333333333333,0.01932887150906026,0.01932887150906026,0.10119735085349908,0.2636925385893831
0,2,0.0,0.0,uniform,optimization,0.3,0,16,False,0.2559981790488201,0.3333333333333333,0.028608357300981876,0.028608357300981876,0.1465800386323051,0.2773073449230249
0,2,0.0,0.0,uniform,optimization,0.3,1,9,False,0.3778305024468295,0.45900011648759215,0.14953816374078324,0.14953816374078324,0.8775113385653635,0.5845534831109236
0,2,0.0,0.0,uniform,optimization,0.3,1,19,False,0.36617131850435053,0.2636925385893831,0.018577886867304945,0.018577886867304945,0.11485613073935519,0.2190416162343747
0,2,0.0,0.0,uniform,optimization,0.3,1,16,False,0.2559981790488201,0.2773073449230249,0.00016585452942764149,0.00016585452942764149,0.007632530695281432,0.19640490065470184
0,2,0.0,0.0,uniform,optimization,0.3,2,9,False,0.3778305024468295,0.5845534831109236,0.14993383340110628,0.14993383340110628,0.7444520401410535,0.6325230502199625
0,2,0.0,0.0,uniform,optimization,0.3,2,19,False,0.36617131850435053,0.2190416162343747,0.020681978832891426,0.020681978832891426,0.10843730196145913,0.18586032195250002
0,2,0.0,0.0,uniform,optimization,0.3,2,16,False,0.2559981790488201,0.19640490065470184,0.028541235351718906,0.028541235351718906,0.14711065789748737,0.18161662782753749
0,2,0.0,0.0,uniform,optimization,0.3,3,9,False,0.3778305024468295,0.6325230502199625,0.15066222733628346,0.15066222733628346,0.7288350074590154,0.6614166373916783
0,2,0.0,0.0,uniform,optimization,0.3,3,19,False,0.36617131850435053,0.18586032195250002,0.02235139872297096,0.02235139872297096,0.113803490643972,0.1642432725599416
0,2,0.0,0.0,uniform,optimization,0.3,3,16,False,0.2559981790488201,0.18161662782753749,0.03143868020989091,0.03143868020989091,0.15736150189701265,0.17434009004838003
0,2,0.0,0.0,uniform,optimization,0.3,4,9,False,0.3778305024468295,0.6614166373916783,0.15113629392136008,0.15113629392136008,0.855174360148227,0.719543954218643
0,2,0.0,0.0,uniform,optimization,0.3,4,19,False,0.36617131850435053,0.1642432725599416,0.02342142568539993,0.02342142568539993,0.1381589731851063,0.15641798274749102
0,2,0.0,0.0,uniform,optimization,0.3,4,16,False,0.2559981790488201,0.17434009004838003,-0.0004815233798251932,0.0,0.006666666666666667,0.12403806303386603
0,2,0.0,0.0,uniform,optimization,0.3,5,9,False,0.3778305024468295,0.719543954218643,0.15131756481336212,0.15131756481336212,0.8517199277856975,0.7591967462887593
0,2,0.0,0.0,uniform,optimization,0.3,5,19,False,0.36617131850435053,0.15641798274749102,0.02416393480327231,0.02416393480327231,0.14161340554763588,0.1519766095875345
0,2,0.0,0.0,uniform,optimization,0.3,5,16,False,0.2559981790488201,0.12403806303386603,-0.0008945095713701755,0.0,0.006666666666666667,0.08882664412370622
0,2,0.0,0.0,uniform,uniform,0.0,0,9,False,0.3778305024468295,0.3333333333333333,0.15244526330692074,0.15244526330692074,0.7522226105141958,0.3333333333333333
0,2,0.0,0.0,uniform,uniform,0.0,0,19,False,0.36617131850435053,0.3333333333333333,0.019328871509060264,0.019328871509060264,0.1011973508534991,0.3333333333333333
0,2,0.0,0.0,uniform,uniform,0.0,0,16,False,0.2559981790488201,0.3333333333333333,0.02860835730098188,0.02860835730098188,0.1465800386323051,0.3333333333333333
0,2,0.0,0.0,uniform,uniform,0.3,0,9,False,0.3778305024468295,0.3333333333333333,0.15244526330692074,0.15244526330692074,0.7522226105141958,0.45900011648759215
0,2,0.0,0.0,uniform,uniform,0.3,0,19,False,0.36617131850435053,0.3333333333333333,0.019328871509060264,0.019328871509060264,0.1011973508534991,0.2636925385893831
0,2,0.0,0.0,uniform,uniform,0.3,0,16,False,0.2559981790488201,0.3333333333333333,0.02860835730098188,0.02860835730098188,0.1465800386323051,0.2773073449230249
0,2,0.0,0.0,uniform,uniform,0.3,1,9,False,0.3778305024468295,0.45900011648759215,0.14946157578378916,0.14946157578378916,0.7718092799475069,0.5528428655255666
0,2,0.0,0.0,uniform,uniform,0.3,1,19,False,0.36617131850435053,0.2636925385893831,0.016345183985928696,0.016345183985928696,0.0903430010286257,0.21168767732115584
0,2,0.0,0.0,uniform,uniform,0.3,1,16,False,0.2559981790488201,0.2773073449230249,0.02562466977785031,0.02562466977785031,0.13784771902386728,0.2354694571532776
0,2,0.0,0.0,uniform,uniform,0.3,2,9,False,0.3778305024468295,0.5528428655255666,0.1474074413223813,0.1474074413223813,0.7863938314684585,0.6229081553084341
0,2,0.0,0.0,uniform,uniform,0.3,2,19,False,0.36617131850435053,0.21168767732115584,0.014291049524520837,0.014291049524520837,0.0822606762216289,0.17285957699129775
0,2,0.0,0.0,uniform,uniform,0.3,2,16,False,0.2559981790488201,0.2354694571532776,0.023570535316442452,0.023570535316442452,0.13134549230991255,0.2042322677002681
0,2,0.0,0.0,uniform,uniform,0.3,3,9,False,0.3778305024468295,0.6229081553084341,0.1474075102402518,0.1474075102402518,0.7863933258696995,0.6719537064768139
0,2,0.0,0.0,uniform,uniform,0.3,3,19,False,0.36617131850435053,0.17285957699129775,0.014291118442391358,0.014291118442391358,0.08226095640942806,0.14567999081673685
