seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
26,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[10, 14, 16]","[0.35936896272190333, 0.36784069323264207, 0.2727903440454546]","[0.465297056787322, 0.5278298498169426, 0.00687309339573536]","[0.465374465654046, 0.5279588676792873, 0.006666666666666667]",11,True,fixed_point_tolerance,0.5,11,0,0.01388490620513494,0.013820950097093979,0.0008257069162747937,0.0,2973,4785,ok,10.0
26,2,0.0,0.0,uniform,0,uniform,0.5,adaptive,stage1,,,"[10, 14, 16]","[0.35936896272190333, 0.36784069323264207, 0.2727903440454546]","[0.465297056787322, 0.5278298498169426, 0.00687309339573536]","[0.465374465654046, 0.5279588676792873, 0.006666666666666667]",11,True,fixed_point_tolerance,0.5,11,0,0.01388490620513494,0.013820950097093979,0.0008257069162747937,0.0,2973,4785,ok,10.0
26,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[10, 14, 16]","[0.35936896272190333, 0.36784069323264207, 0.2727903440454546]","[0.43132110133904533, 0.4777071066443173, 0.09097179201663734]","[0.4619788852266892, 0.5228778461283906, 0.015143268644920316]",20,False,max_rounds,0.05,11,9,0.03321079618521594,0.006565631677707036,0.15165704674343417,0.0,7470,8700,ok,10.0
27,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[5, 13, 14]","[0.3674759152413462, 0.2800519508443133, 0.35247213391434046]","[0.006806944311073455, 0.0067696655046939405, 0.9864233901842326]","[0.006666666666666667, 0.006666666666666667, 0.9866666666666667]",12,True,fixed_point_tolerance,0.5,12,0,0.009055913936823146,0.012375151738524437,0.0009731059297362257,0.0,2682,900,ok,10.0
27,2,0.0,0.0,uniform,0,uniform,0.5,adaptive,stage1,,,"[5, 13, 14]","[0.3674759152413462, 0.2800519508443133, 0.35247213391434046]","[0.0077464332896837705, 0.0074594851373624375, 0.9847940815729539]","[0.006666666666666667, 0.006666666666666667, 0.9866666666666667]",20,False,max_rounds,0.25,20,0,0.009055884462085828,0.012375143046180407,0.0037451701874256713,0.0,4374,1500,ok,10.0
27,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[5, 13, 14]","[0.3674759152413462, 0.2800519508443133, 0.35247213391434046]","[0.17848063337311743, 0.16999999999999998, 0.6515193666268826]","[0.12214131570531611, 0.05427495361318807, 0.8235837306814958]",20,False,max_rounds,0.05,11,9,0.0016829835875622479,0.005629568671186765,0.34412872810922646,0.0,6948,1500,ok,10.0
28,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[20, 13, 8]","[0.4588398695621773, 0.2746355426572469, 0.2665245877805758]","[0.006686604817708334, 0.9727057472412639, 0.020607647941027745]","[0.006666666666666667, 0.9728917010396145, 0.020441632293718738]",14,True,fixed_point_tolerance,0.5,14,0,0.007827589259324697,0.023202030298610527,0.0007438151934025961,0.0,2970,2184,ok,10.0
28,2,0.0,0.0,uniform,0,uniform,0.5,adaptive,stage1,,,"[20, 13, 8]","[0.4588398695621773, 0.2746355426572469, 0.2665245877805758]","[0.006787927701758843, 0.9717608142699997, 0.021451258028241466]","[0.006666666666666667, 0.9728918359826918, 0.020441497350641536]",20,False,max_rounds,0.25,20,0,0.00782763516438223,0.02320204519977172,0.002262043425384187,0.0,4191,3120,ok,10.0
28,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[20, 13, 8]","[0.4588398695621773, 0.2746355426572469, 0.2665245877805758]","[0.14243749999999997, 0.6553178717945498, 0.20224462820545014]","[0.006666666666666667, 0.8886663745131008, 0.10466695882023257]",20,False,max_rounds,0.05,11,9,0.0008433416389346249,0.011903061531484127,0.46669700543710185,0.0,4677,3120,ok,10.0
29,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[8, 16, 15]","[0.41202678844060914, 0.34370584556674505, 0.24426736599264584]","[0.879580278756322, 0.006750076160059952, 0.11366964508361804]","[0.8797229282136786, 0.006666666666666667, 0.11361040511965478]",12,True,fixed_point_tolerance,0.5,12,0,0.020728164212290068,0.01306579572459062,0.0005705978294261466,0.0,2784,7920,ok,10.0
29,2,0.0,0.0,uniform,0,uniform,0.5,adaptive,stage1,,,"[8, 16, 15]","[0.41202678844060914, 0.34370584556674505, 0.24426736599264584]","[0.879580278756322, 0.006750076160059952, 0.11366964508361804]","[0.8797229282136786, 0.006666666666666667, 0.11361040511965478]",12,True,fixed_point_tolerance,0.5,12,0,0.020728164212290068,0.01306579572459062,0.0005705978294261466,0.0,2784,7920,ok,10.0
29,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[8, 16, 15]","[0.41202678844060914, 0.34370584556674505, 0.24426736599264584]","[0.5233775614953622, 0.2167940460381093, 0.2598283924665286]","[0.83861764972449, 0.02348191251841105, 0.13790043775709898]",20,False,max_rounds,0.05,11,9,0.015371787011587479,0.006345119948188464,0.6304801764582557,0.0,5979,13200,ok,10.0
