agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,coalition_round,payment_contribution_source,payment_fallback_reason
15,3.697449648706734e-05,0.21885662006761547,0.5155070712033829,0.30931903252062454,1.06,2.2663442268304355,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.14984511474643689,0.19461181823453363,0.097005829314918,0.11814154348752556,1.22,1.6807520196013497,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.4737265966771876,0.1938259590803027,0.09144830104840139,0.24435961929991587,1.3800000000000001,2.333002515269672,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.231964695539853,0.1928854951663302,0.06174338080895698,0.1298319067013154,1.1400000000000001,1.64634443613513,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.14442661854003544,0.199820107451218,0.2342954176243407,0.19834789799061858,1.3,2.0735568021634125,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,1.8712935268155107e-05,0.18167813411465344,0.40121533546312105,0.24073668645197988,1.06,1.9988730771627214,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.03626475100456905,0.1359503016969348,0.026388068275600276,0.030338741367187786,1.22,1.3383210913320323,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.18851922852153685,0.14330316615341054,0.01844365177151198,0.08647388247152193,1.3800000000000001,1.7172481416389356,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.5790433706179482,0.16351966314369473,0.11015424369478104,0.2977098944640479,1.1400000000000001,2.3010685884097866,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.19615393692067778,0.3755487348913065,0.44379870079498573,0.3447407952452626,1.3,2.644489101456524,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,2.175975559777385e-05,0.1607272121684881,0.13384812916536654,0.08031758140145903,1.06,1.4648006102633535,2,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
1,0.5955861490314792,0.40068985658339373,0.7177109870201243,0.6688610518246663,1.22,4.591059701196318,2,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
2,0.29748947303376394,0.3398387576132191,0.12099341808054324,0.19159184006183153,1.3800000000000001,2.345622873911631,2,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
4,0.1069026181791589,0.09874417363489901,0.027447465733966107,0.05922952671204323,1.3,1.5985168146286979,2,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
15,2.4604830072181726e-05,0.2325967365634635,0.07544233792618875,0.04527524468774212,1.06,1.2918092528012397,3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
2,0.13400945344836024,0.32594444123866473,0.7724354496733077,0.5170650511833287,1.3800000000000001,4.0273730620586425,3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
3,0.13744523927692825,0.219375,0.07013819776270865,0.0970610143683965,1.1400000000000001,1.63695239356619,3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
4,0.7285207024446393,0.2220838221978718,0.08198401463779494,0.34059868976053265,1.3,3.043865291573927,3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
15,4.3845710194547666e-05,0.2,0.35997867699035774,0.21600474447829246,1.06,1.9024185034653405,4,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
