seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,round,agent_id,is_poisoned,reputation_share,optimization_before,marginal_contribution,positive_contribution,contribution_share,optimization_after
0,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,0,9,False,0.3778305024468295,0.3333333333333333,0.15244526330692074,0.15244526330692074,0.7522226105141958,0.3333333333333333
0,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,0,19,False,0.36617131850435053,0.3333333333333333,0.019328871509060264,0.019328871509060264,0.1011973508534991,0.3333333333333333
0,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,0,16,False,0.2559981790488201,0.3333333333333333,0.02860835730098188,0.02860835730098188,0.1465800386323051,0.3333333333333333
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,0,9,False,0.3778305024468295,0.3333333333333333,0.15244526330692074,0.15244526330692074,0.7522226105141958,0.45900011648759215
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,0,19,False,0.36617131850435053,0.3333333333333333,0.019328871509060264,0.019328871509060264,0.1011973508534991,0.2636925385893831
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,0,16,False,0.2559981790488201,0.3333333333333333,0.02860835730098188,0.02860835730098188,0.1465800386323051,0.2773073449230249
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,1,9,False,0.3778305024468295,0.45900011648759215,0.14946157578378916,0.14946157578378916,0.7718092799475069,0.5528428655255666
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,1,19,False,0.36617131850435053,0.2636925385893831,0.016345183985928696,0.016345183985928696,0.0903430010286257,0.21168767732115584
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,1,16,False,0.2559981790488201,0.2773073449230249,0.02562466977785031,0.02562466977785031,0.13784771902386728,0.2354694571532776
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,2,9,False,0.3778305024468295,0.5528428655255666,0.1474074413223813,0.1474074413223813,0.7863938314684585,0.6229081553084341
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,2,19,False,0.36617131850435053,0.21168767732115584,0.014291049524520837,0.014291049524520837,0.0822606762216289,0.17285957699129775
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,2,16,False,0.2559981790488201,0.2354694571532776,0.023570535316442452,0.023570535316442452,0.13134549230991255,0.2042322677002681
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,3,9,False,0.3778305024468295,0.6229081553084341,0.1474075102402518,0.1474075102402518,0.7863933258696995,0.6719537064768139
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,3,19,False,0.36617131850435053,0.17285957699129775,0.014291118442391358,0.014291118442391358,0.08226095640942806,0.14567999081673685
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,3,16,False,0.2559981790488201,0.2042322677002681,0.023570604234312974,0.023570604234312974,0.1313457177208724,0.1823663027064494
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,4,9,False,0.3778305024468295,0.6719537064768139,0.14740743635532758,0.14740743635532758,0.7863938679080523,0.7062857549061854
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,4,19,False,0.36617131850435053,0.14567999081673685,0.014291044557467103,0.014291044557467103,0.08226065602788948,0.12665419038008263
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,4,16,False,0.2559981790488201,0.1823663027064494,0.02357053034938872,0.02357053034938872,0.13134547606405816,0.16706005471373203
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,5,9,False,0.3778305024468295,0.7062857549061854,0.14740743449268243,0.14740743449268243,0.7863938815729015,0.7303181929062001
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,5,19,False,0.36617131850435053,0.12665419038008263,0.014291042694821954,0.014291042694821954,0.08226064845523637,0.11333612780262875
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,5,16,False,0.2559981790488201,0.16706005471373203,0.02357052848674357,0.02357052848674357,0.13134546997186208,0.15634567929117105
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,6,9,False,0.3778305024468295,0.7303181929062001,0.14740743635532758,0.14740743635532758,0.7863938679080523,0.7471408954067558
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,6,19,False,0.36617131850435053,0.11333612780262875,0.014291044557467103,0.014291044557467103,0.08226065602788948,0.10401348627020697
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,6,16,False,0.2559981790488201,0.15634567929117105,0.02357053034938872,0.02357053034938872,0.13134547606405816,0.14884561832303717
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,7,9,False,0.3778305024468295,0.7471408954067558,0.14740743402702114,0.14740743402702114,0.786393884989114,0.7589167922814634
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,7,19,False,0.36617131850435053,0.10401348627020697,0.014291042229160666,0.014291042229160666,0.082260646562073,0.0974876343577668
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,7,16,False,0.2559981790488201,0.14884561832303717,0.023570528021082282,0.023570528021082282,0.13134546844881304,0.14359557336076995
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,8,9,False,0.3778305024468295,0.7589167922814634,0.14740743945973614,0.14740743945973614,0.7863938451333056,0.767159908137016
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,8,19,False,0.36617131850435053,0.0974876343577668,0.014291047661875687,0.014291047661875687,0.08226066864897702,0.09291954464512986
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,8,16,False,0.2559981790488201,0.14359557336076995,0.023570533453797303,0.023570533453797303,0.1313454862177175,0.1399205472178542
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,9,9,False,0.3778305024468295,0.767159908137016,0.15243494471845528,0.15243494471845528,0.752287331945474,0.7626981352795533
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,9,19,False,0.36617131850435053,0.09291954464512986,0.01931855292059481,0.01931855292059481,0.10116148416066233,0.09539212649978959
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,9,16,False,0.2559981790488201,0.1399205472178542,0.028598038712516427,0.028598038712516427,0.14655118389386368,0.14190973822065706
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,10,9,False,0.3778305024468295,0.7626981352795533,0.14740744380590817,0.14740744380590817,0.7863938132486639,0.7698068386702865
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,10,19,False,0.36617131850435053,0.09539212649978959,0.0142910520080477,0.0142910520080477,0.08226068631849738,0.09145269444540192
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,10,16,False,0.2559981790488201,0.14190973822065706,0.023570537799969316,0.023570537799969316,0.13134550043283874,0.13874046688431155
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,11,9,False,0.3778305024468295,0.7698068386702865,0.14740743635532758,0.14740743635532758,0.7863938679080523,0.7747829474416164
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,11,19,False,0.36617131850435053,0.09145269444540192,0.014291044557467103,0.014291044557467103,0.08226065602788948,0.0886950829201482
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,11,16,False,0.2559981790488201,0.13874046688431155,0.02357053034938872,0.02357053034938872,0.13134547606405816,0.13652196963823557
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,12,9,False,0.3778305024468295,0.7747829474416164,0.14740743464790285,0.14740743464790285,0.786393880434164,0.7782662273393806
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,12,19,False,0.36617131850435053,0.0886950829201482,0.014291042850042384,0.014291042850042384,0.08226064908629081,0.08676475276999097
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,12,16,False,0.2559981790488201,0.13652196963823557,0.023570528641964,0.023570528641964,0.13134547047954512,0.13496901989062843
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,13,9,False,0.3778305024468295,0.7782662273393806,0.14740743402702114,0.14740743402702114,0.786393884989114,0.7807045246343006
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,13,19,False,0.36617131850435053,0.08676475276999097,0.014291042229160666,0.014291042229160666,0.082260646562073,0.0854135209076156
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,13,16,False,0.2559981790488201,0.13496901989062843,0.023570528021082282,0.023570528021082282,0.13134546844881304,0.13388195445808382
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,14,9,False,0.3778305024468295,0.7807045246343006,0.14740743402702114,0.14740743402702114,0.786393884989114,0.7824113327407446
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,14,19,False,0.36617131850435053,0.0854135209076156,0.014291042229160666,0.014291042229160666,0.082260646562073,0.08446765860395282
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,14,16,False,0.2559981790488201,0.13388195445808382,0.023570528021082282,0.023570528021082282,0.13134546844881304,0.13312100865530258
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,15,9,False,0.3778305024468295,0.7824113327407446,0.14740743635532758,0.14740743635532758,0.7863938679080523,0.7836060932909369
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,15,19,False,0.36617131850435053,0.08446765860395282,0.014291044557467103,0.014291044557467103,0.08226065602788948,0.08380555783113383
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,15,16,False,0.2559981790488201,0.13312100865530258,0.02357053034938872,0.02357053034938872,0.13134547606405816,0.13258834887792928
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,16,9,False,0.3778305024468295,0.7836060932909369,0.14740743464790285,0.14740743464790285,0.786393880434164,0.784442429433905
