seed,D,rho,target_T,agent_id,alpha,bid,marginal_contribution,positive_contribution,alpha_share,contribution_share,profit_share,payment
0,2,0.0,0.0,2,0.3697460344386321,1.3800000000000001,0.2862990600988269,0.2862990600988269,0.36974603443863213,0.8063546278070313,0.6317111904596716,5.233438261803997
0,2,0.0,0.0,6,0.31161196057171725,1.22,0.044735788367688656,0.044735788367688656,0.3116119605717173,0.12599730493851352,0.20024316719179502,2.4414833198699495
0,2,0.0,0.0,19,0.31864200498965056,1.3,0.024018685333430767,0.024018685333430767,0.3186420049896506,0.06764806725445524,0.16804564234853342,2.3250784183260538
0,2,0.3,0.0,2,0.4069809146742986,1.3800000000000001,0.25525767356157303,0.25525767356157303,0.4069809146742986,0.875431545097829,0.6880512929284168,5.577112886863342
0,2,0.3,0.0,6,0.34299251087161475,1.22,0.026503343135118484,0.026503343135118484,0.34299251087161475,0.09089584774201893,0.19173451299385727,2.3895805292625294
0,2,0.3,0.0,9,0.25002657445408666,1.3,0.00981823354959488,0.00981823354959488,0.25002657445408666,0.033672607160152086,0.12021419407772592,2.033306583874128
0,2,0.4,0.0,2,0.4069809146742986,1.3800000000000001,0.25525767356157303,0.25525767356157303,0.4069809146742986,0.875431545097829,0.6880512929284168,5.577112886863342
0,2,0.4,0.0,6,0.34299251087161475,1.22,0.026503343135118484,0.026503343135118484,0.34299251087161475,0.09089584774201893,0.19173451299385727,2.3895805292625294
0,2,0.4,0.0,9,0.25002657445408666,1.3,0.00981823354959488,0.00981823354959488,0.25002657445408666,0.033672607160152086,0.12021419407772592,2.033306583874128
1,2,0.0,0.0,7,0.5037475651878578,1.3800000000000001,0.07800121768377721,0.07800121768377721,0.5037475651878578,0.47844031931040937,0.48856321766138877,4.360235627734472
1,2,0.0,0.0,3,0.31712648067710614,1.1400000000000001,0.05560699268244207,0.05560699268244207,0.31712648067710614,0.3410796411247878,0.33149837694571516,3.1621400993688624
1,2,0.0,0.0,12,0.1791259541350361,1.3800000000000001,0.02942407294176519,0.02942407294176519,0.1791259541350361,0.18048003956480288,0.17993840539289618,2.4776242728966666
1,2,0.3,0.0,7,0.5037475651878578,1.3800000000000001,0.07800121768377721,0.07800121768377721,0.5037475651878578,0.47844031931040937,0.48856321766138877,4.360235627734472
1,2,0.3,0.0,3,0.31712648067710614,1.1400000000000001,0.05560699268244207,0.05560699268244207,0.31712648067710614,0.3410796411247878,0.33149837694571516,3.1621400993688624
1,2,0.3,0.0,12,0.1791259541350361,1.3800000000000001,0.02942407294176519,0.02942407294176519,0.1791259541350361,0.18048003956480288,0.17993840539289618,2.4776242728966666
1,2,0.4,0.0,7,0.5037475651878578,1.3800000000000001,0.07800121768377721,0.07800121768377721,0.5037475651878578,0.47844031931040937,0.48856321766138877,4.360235627734472
1,2,0.4,0.0,3,0.31712648067710614,1.1400000000000001,0.05560699268244207,0.05560699268244207,0.31712648067710614,0.3410796411247878,0.33149837694571516,3.1621400993688624
1,2,0.4,0.0,12,0.1791259541350361,1.3800000000000001,0.02942407294176519,0.02942407294176519,0.1791259541350361,0.18048003956480288,0.17993840539289618,2.4776242728966666
2,2,0.0,0.0,10,0.550320962416338,1.06,0.005550901405513287,0.005550901405513287,0.550320962416338,0.03001989772331978,0.23814032360052706,2.665065781067552
2,2,0.0,0.0,20,0.30879153889220917,1.06,0.15418500639498234,0.15418500639498234,0.30879153889220917,0.8338498172295986,0.6238265058946428,5.264590649729893
2,2,0.0,0.0,18,0.14088749869145287,1.1400000000000001,0.025171497836709023,0.025171497836709023,0.14088749869145287,0.13613028504708166,0.13803317050483016,2.0703435692025556
2,2,0.3,0.0,10,0.7210104402198166,1.06,0.022057441528886557,0.022057441528886557,0.7210104402198168,0.13527577636881868,0.3695696419092179,3.4326371010571792
2,2,0.3,0.0,8,0.13761455863415065,1.1400000000000001,0.0981737351976335,0.0981737351976335,0.13761455863415067,0.6020883351541219,0.4162988245461334,3.8126384535861764
2,2,0.3,0.0,2,0.14137500114603266,1.3800000000000001,0.04282419150695205,0.04282419150695205,0.14137500114603269,0.2626358884770595,0.21413153354464876,2.7547244453566453
2,2,0.4,0.0,10,0.7210104402198166,1.06,0.022057441528886557,0.022057441528886557,0.7210104402198168,0.13527577636881868,0.3695696419092179,3.4326371010571792
2,2,0.4,0.0,8,0.13761455863415065,1.1400000000000001,0.0981737351976335,0.0981737351976335,0.13761455863415067,0.6020883351541219,0.4162988245461334,3.8126384535861764
2,2,0.4,0.0,2,0.14137500114603266,1.3800000000000001,0.04282419150695205,0.04282419150695205,0.14137500114603269,0.2626358884770595,0.21413153354464876,2.7547244453566453
3,2,0.0,0.0,17,0.48466624699370103,1.3800000000000001,0.0038756178691983223,0.0038756178691983223,0.48466624699370103,0.21745038314968063,0.3243367286872888,3.3844009832874447
3,2,0.0,0.0,4,0.26220378464762234,1.3,0.002663657069206238,0.002663657069206238,0.26220378464762234,0.14945055725993517,0.19455184821501004,2.502330421968762
