agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,coalition_round,payment_contribution_source,payment_fallback_reason
15,3.697449648706734e-05,0.21885662006761547,0.5155070712033829,0.30931903252062454,1.06,2.2663442268304355,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.14984511474643689,0.19461181823453363,0.097005829314918,0.11814154348752556,1.22,1.6807520196013497,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.4737265966771876,0.1938259590803027,0.09144830104840139,0.24435961929991587,1.3800000000000001,2.333002515269672,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.231964695539853,0.1928854951663302,0.06174338080895698,0.1298319067013154,1.1400000000000001,1.64634443613513,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.14442661854003544,0.199820107451218,0.2342954176243407,0.19834789799061858,1.3,2.0735568021634125,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,3.697449648706734e-05,0.0013992645133196382,0.11410391778621835,0.06847714047032584,1.06,1.3270608478342707,0,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.14984511474643689,0.10025089662750969,0.03872132367505331,0.08317084010360674,1.22,1.5443662764040662,0,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.4737265966771876,0.3122580790694044,0.044447503957605126,0.21615914104543812,1.3800000000000001,2.223020650077209,0,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.231964695539853,0.4453536616084356,0.6474381382646314,0.48124876117472,1.1400000000000001,3.016870168581408,0,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.14442661854003544,0.14073809818133076,0.1552891163164919,0.1509441172059093,1.3,1.8886820571030463,0,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,1.8712935268155107e-05,0.18167813411465344,0.40121533546312105,0.24073668645197988,1.06,1.9988730771627214,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
1,0.03626475100456905,0.1359503016969348,0.026388068275600276,0.030338741367187786,1.22,1.3383210913320323,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
2,0.18851922852153685,0.14330316615341054,0.01844365177151198,0.08647388247152193,1.3800000000000001,1.7172481416389356,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
3,0.5790433706179482,0.16351966314369473,0.11015424369478104,0.2977098944640479,1.1400000000000001,2.3010685884097866,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
4,0.19615393692067778,0.3755487348913065,0.44379870079498573,0.3447407952452626,1.3,2.644489101456524,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,eval,
15,2.3060232510576198e-05,0.2244802822235055,0.17767895508493825,0.10661659714396718,1.06,1.6229356329201465,1,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
1,0.044689599900804955,0.009745382543353743,0.02588054697140707,0.03340416814316623,1.22,1.3963740077959177,1,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
3,0.7135638834213783,0.7017313159028662,0.7632201297660813,0.7433576312282002,1.1400000000000001,5.064928292884897,1,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
4,0.24172345644530624,0.06404301933027459,0.03322036817757332,0.11662160348466649,1.3,1.9157620663990391,1,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,1,eval,
