seed,dimension,poison_ratio,target,initialization,evaluator,update_rate,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,converged,stop_reason,final_target_error,final_evaluation_loss,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
0,2,0.0,0.0,uniform,uniform,0.3,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.7062857549061854, 0.12665419038008263, 0.16706005471373203]","[0.7863938815729015, 0.08226064845523637, 0.13134546997186208]",6,False,max_rounds,0.03140632897711196,0.0069249052709589405,0.16021625333343228,0.0,1374,4662,ok,9.999999999999998
0,2,0.0,0.0,uniform,median,0.3,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.424229447525895, 0.41530841829217474, 0.16046213418193028]","[0.4484454947934202, 0.43714777357987467, 0.11440673162670506]",6,False,max_rounds,0.023617844954936372,0.0024611763656139374,0.09211080511045039,0.0,2103,666,ok,10.0
0,2,0.0,0.0,uniform,trimmed,0.3,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.7062857549061854, 0.12665419038008263, 0.16706005471373203]","[0.7863938815729015, 0.08226064845523637, 0.13134546997186208]",6,False,max_rounds,0.03140632897711196,0.0069249052709589405,0.16021625333343228,0.0,1374,4662,ok,9.999999999999998
0,2,0.3,0.0,uniform,uniform,0.3,"[9, 7, 6]","[0.4189443364079017, 0.31581136992161585, 0.26524429367048247]","[0.07487086373243802, 0.8479856647751983, 0.07714347149236367]","[0.006666666666666667, 0.9866666666666667, 0.006666666666666667]",6,False,max_rounds,0.06546823657698297,0.043600231409072876,0.27736200378293674,0.0,1212,4284,ok,10.0
0,2,0.3,0.0,uniform,median,0.3,"[9, 7, 6]","[0.4189443364079017, 0.31581136992161585, 0.26524429367048247]","[0.5946930508310588, 0.2703336446973992, 0.13497330447154204]","[0.6467155769310222, 0.2577938280120641, 0.09549059505691376]",6,False,max_rounds,0.03942824345585194,0.0042658415623009205,0.10404505219992677,0.0,1221,2718,ok,10.0
0,2,0.3,0.0,uniform,trimmed,0.3,"[9, 7, 6]","[0.4189443364079017, 0.31581136992161585, 0.26524429367048247]","[0.07487086373243802, 0.8479856647751983, 0.07714347149236367]","[0.006666666666666667, 0.9866666666666667, 0.006666666666666667]",6,False,max_rounds,0.06546823657698297,0.043600231409072876,0.27736200378293674,0.0,1212,4284,ok,10.0
0,5,0.0,0.0,uniform,uniform,0.3,"[16, 11, 15, 2, 12, 8]","[0.23788648448823288, 0.18404724273911657, 0.14557907160643377, 0.17103146099047056, 0.1434582025028741, 0.1179975376728721]","[0.5177076113702813, 0.0327519282560144, 0.19237675493483522, 0.03140133016949534, 0.18661522750014445, 0.03914714776922931]","[0.5878776378571489, 0.003333333333333334, 0.1991584191844771, 0.003333333333333334, 0.1922742998380586, 0.014022976453648922]",6,False,max_rounds,0.0007980830308566556,0.022864345461130142,0.16522152614884705,0.0,5730,77832,ok,10.0
0,5,0.0,0.0,uniform,median,0.3,"[16, 11, 15, 2, 12, 8]","[0.23788648448823288, 0.18404724273911657, 0.14557907160643377, 0.17103146099047056, 0.1434582025028741, 0.1179975376728721]","[0.08903936882915155, 0.03220909830680227, 0.0527575591310442, 0.24861908307890157, 0.5182571249621091, 0.05911776569199129]","[0.09644554602847549, 0.003508579301972748, 0.037547921812174166, 0.275160049286824, 0.5394652195956955, 0.04787268397485806]",6,False,max_rounds,0.010328566481605073,0.00915105827152729,0.11031047608166561,0.0,4722,56808,ok,10.0
0,5,0.0,0.0,uniform,trimmed,0.3,"[16, 11, 15, 2, 12, 8]","[0.23788648448823288, 0.18404724273911657, 0.14557907160643377, 0.17103146099047056, 0.1434582025028741, 0.1179975376728721]","[0.030784766666666664, 0.03078707627279265, 0.06753178503998247, 0.030784766666666664, 0.7748169054806504, 0.06529469987324114]","[0.003333333333333334, 0.003333333333333334, 0.059294586064375716, 0.003333333333333334, 0.8802624263569111, 0.05044298757871326]",6,False,max_rounds,0.013534417774969498,0.02593659795820713,0.21089104175252132,0.0,6396,74736,ok,10.0
0,5,0.3,0.0,uniform,uniform,0.3,"[11, 2, 12, 8, 6, 10]","[0.23033016132239192, 0.21404126144383093, 0.1795340719792517, 0.14767073650955206, 0.13995657991004246, 0.08846718883493078]","[0.03078476666666666, 0.4556806403509275, 0.15000863562760877, 0.032944827358797044, 0.29979636332933346, 0.03078476666666666]","[0.0033333333333333344, 0.5194176846824156, 0.14308427293877876, 0.0033333333333333344, 0.3274980423788057, 0.0033333333333333344]",6,False,max_rounds,0.0008370748983543841,0.052549293264746666,0.1828774467619207,0.0,4236,64188,ok,10.0
