seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,round,target_error,stage3_engine,stage3_engine_losses,evaluation_loss,delivered_solution_evaluation_loss,full_evaluation_engine,consistency_l1,update_l1,eta_used,update_accepted,gate_triggered,eval_loss_delta,informative,stage3_requests_cumulative,contribution_requests_cumulative
0,5,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,3,0.05437199326160232,custom,"{""bfgs"": 0.08054312916971317, ""custom"": 0.04382465419376689}",0.015749897062778472,0.06792207211256027,bfgs,0.35571845703550325,0.10671553711065097,0.3,True,False,0.0,True,11715,58160
0,5,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,4,0.004046188990853725,bfgs,"{""bfgs"": 0.03606219536537629, ""custom"": 0.04205460975890184}",0.015749897062778472,0.0286453515291214,bfgs,0.2490029199248523,0.07470087597745576,0.3,True,False,0.0,True,15055,72700
0,5,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,0,0.02431038525329329,bfgs,"{""bfgs"": 0.015749897062778476, ""custom"": 0.040572999417781835}",0.015749897062778472,0.015749897062778472,bfgs,1.0370800496661903,0.5185400248330951,0.5,True,False,,True,2240,14540
0,5,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,1,0.011137204142597265,custom,"{""bfgs"": 0.051132297408672034, ""custom"": 0.03131205289836023}",0.015749897062778472,0.030156685411930083,bfgs,0.5185400248330951,0.25927001241654757,0.5,True,False,0.0,True,4545,29080
0,5,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,2,0.01679260767422972,bfgs,"{""bfgs"": 0.03326158102091642, ""custom"": 0.04282688425432092}",0.015749897062778472,0.031546874344348906,bfgs,0.2592700124165475,0.12963500620827376,0.5,True,False,0.0,True,6950,43620
0,5,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,3,0.05203088694005353,custom,"{""bfgs"": 0.03843274017844155, ""custom"": 0.0357288593039913}",0.015749897062778472,0.07271446138620377,bfgs,0.12963500620827376,0.06481750310413689,0.5,True,False,0.0,True,8950,58160
0,5,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,4,0.05801679663447909,custom,"{""bfgs"": 0.06070754075645862, ""custom"": 0.038114635435683296}",0.015749897062778472,0.10598458647727967,bfgs,0.06481750310413685,0.0324087515520684,0.5,True,False,0.0,True,12275,72700
0,5,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1,0,0.02431038525329329,bfgs,"{""bfgs"": 0.015749897062778476, ""custom"": 0.040572999417781835}",0.015749897062778472,0.015749897062778472,bfgs,1.0370800496661903,1.0370800496661903,1.0,True,False,,True,2240,14540
0,5,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1,1,0.06444122863721534,bfgs,"{""bfgs"": 0.030117454673927957, ""custom"": 0.040621208610927564}",0.015749897062778472,0.06539878100156785,bfgs,0.0,0.0,1.0,True,False,0.0,True,5155,29080
1,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,0,0.0024432934588861643,custom,"{""bfgs"": 0.13691198080778122, ""custom"": 0.02472555749118328}",0.02472555749118328,0.02472555749118328,custom,1.3743292330338486,0.0,0.0,False,False,,True,1095,4325
1,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,0,0.0024432934588861643,custom,"{""bfgs"": 0.13691198080778122, ""custom"": 0.02472555749118328}",0.02472555749118328,0.02472555749118328,custom,1.3743292330338486,0.41229876991015457,0.3,True,False,,True,1095,4325
1,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,1,0.012362917199020843,custom,"{""bfgs"": 0.13221040899908004, ""custom"": 0.0214060274987809}",0.02472555749118328,0.026400934532284738,custom,0.9620304631236942,0.28860913893710816,0.3,True,False,0.0,True,2030,8650
1,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,2,0.03555442469759737,custom,"{""bfgs"": 0.12891930873298918, ""custom"": 0.01908157786505221}",0.02472555749118328,0.03558645248413086,custom,0.6734213241865861,0.20202639725597582,0.3,True,False,0.0,True,2610,12975
1,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,3,0.03670966708681636,custom,"{""bfgs"": 0.1266155385467256, ""custom"": 0.016236210779194883}",0.02472555749118328,0.0403395876288414,custom,0.4713949269306102,0.14141847807918304,0.3,True,False,0.0,True,3185,17300
1,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,4,0.036813684707811656,custom,"{""bfgs"": 0.12500289941634107, ""custom"": 0.012727309111796823}",0.02472555749118328,0.041146449744701385,custom,0.3299764488514272,0.09899293465542816,0.3,True,False,0.0,True,3635,21625
1,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,0,0.0024432934588861643,custom,"{""bfgs"": 0.13691198080778122, ""custom"": 0.02472555749118328}",0.02472555749118328,0.02472555749118328,custom,1.3743292330338486,0.6871646165169245,0.5,True,False,,True,1095,4325
1,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,1,0.03480199623331645,custom,"{""bfgs"": 0.12907602779327923, ""custom"": 0.018874054027548787}",0.02472555749118328,0.03463403731584549,custom,0.6871646165169243,0.34358230825846214,0.5,True,False,0.0,True,2080,8650
1,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,2,0.036777016545101265,custom,"{""bfgs"": 0.12515805128602825, ""custom"": 0.013064963679726675}",0.02472555749118328,0.041119343042373656,custom,0.3435823082584622,0.17179115412923104,0.5,True,False,0.0,True,2505,12975
1,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,3,0.03677701448049103,custom,"{""bfgs"": 0.12319906303240272, ""custom"": 0.008389233785952176}",0.02472555749118328,0.041119343042373656,custom,0.17179115412923113,0.08589557706461551,0.5,True,False,0.0,True,2930,17300
1,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,4,0.03677702562271623,custom,"{""bfgs"": 0.12221956890558996, ""custom"": 0.006051384940625612}",0.02472555749118328,0.04111936539411545,custom,0.08589557706461563,0.04294778853230786,0.5,True,False,0.0,True,3335,21625
1,2,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1,0,0.0024432934588861643,custom,"{""bfgs"": 0.13691198080778122, ""custom"": 0.02472555749118328}",0.02472555749118328,0.02472555749118328,custom,1.3743292330338486,1.3743292330338486,1.0,True,False,,True,1095,4325
1,2,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1,1,0.03677704989129263,custom,"{""bfgs"": 0.12124007477877724, ""custom"": 0.0037135195770596216}",0.02472555749118328,0.04111936539411545,custom,0.0,0.0,1.0,True,False,0.0,True,1505,8650
1,5,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,0,0.07815249296822713,custom,"{""bfgs"": 0.1731401801109314, ""custom"": 0.06981381252408028}",0.06981381252408028,0.06981381252408028,custom,,0.0,0.0,False,False,,False,2055,13050
1,5,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,0,0.07815249296822713,custom,"{""bfgs"": 0.1731401801109314, ""custom"": 0.06981381252408028}",0.06981381252408028,0.06981381252408028,custom,,0.0,0.3,False,False,,False,2055,13050
1,5,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,0,0.07815249296822713,custom,"{""bfgs"": 0.1731401801109314, ""custom"": 0.06981381252408028}",0.06981381252408028,0.06981381252408028,custom,,0.0,0.5,False,False,,False,2055,13050
1,5,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1,0,0.07815249296822713,custom,"{""bfgs"": 0.1731401801109314, ""custom"": 0.06981381252408028}",0.06981381252408028,0.06981381252408028,custom,,0.0,1.0,False,False,,False,2055,13050
