seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,round,agent_id,is_poisoned,reputation_share,optimization_before,marginal_contribution,positive_contribution,contribution_share,optimization_after
0,2,0.0,0.0,stage0,0,uniform,0.5,fixed,stage1,,,0,9,False,0.3778305024468295,0.37783050244682936,0.15252912766300142,0.15252912766300142,0.7516973276919757,0.5647639150694026
0,2,0.0,0.0,stage0,0,uniform,0.5,fixed,stage1,,,0,19,False,0.36617131850435053,0.3661713185043505,0.019412735865140956,0.019412735865140956,0.10148844697521531,0.2338298827397829
0,2,0.0,0.0,stage0,0,uniform,0.5,fixed,stage1,,,0,16,False,0.2559981790488201,0.25599817904882005,0.02869222165706257,0.02869222165706257,0.14681422533280905,0.20140620219081456
0,2,0.0,0.0,stage0,0,uniform,0.5,fixed,stage1,,,1,9,False,0.3778305024468295,0.5647639150694026,0.14740743635532758,0.14740743635532758,0.7863938679080523,0.6755788914887275
0,2,0.0,0.0,stage0,0,uniform,0.5,fixed,stage1,,,1,19,False,0.36617131850435053,0.2338298827397829,0.014291044557467103,0.014291044557467103,0.08226065602788948,0.15804526938383617
0,2,0.0,0.0,stage0,0,uniform,0.5,fixed,stage1,,,1,16,False,0.2559981790488201,0.20140620219081456,0.02357053034938872,0.02357053034938872,0.13134547606405816,0.16637583912743636
0,2,0.0,0.0,stage0,0,uniform,0.5,fixed,stage1,,,2,9,False,0.3778305024468295,0.6755788914887275,0.14740743635532758,0.14740743635532758,0.7863938679080523,0.73098637969839
0,2,0.0,0.0,stage0,0,uniform,0.5,fixed,stage1,,,2,19,False,0.36617131850435053,0.15804526938383617,0.014291044557467103,0.014291044557467103,0.08226065602788948,0.12015296270586283
0,2,0.0,0.0,stage0,0,uniform,0.5,fixed,stage1,,,2,16,False,0.2559981790488201,0.16637583912743636,0.02357053034938872,0.02357053034938872,0.13134547606405816,0.14886065759574726
0,2,0.0,0.0,stage0,0,uniform,0.5,fixed,stage1,,,3,9,False,0.3778305024468295,0.73098637969839,0.14740744566855332,0.14740744566855332,0.7863937995838188,0.7586900896411044
0,2,0.0,0.0,stage0,0,uniform,0.5,fixed,stage1,,,3,19,False,0.36617131850435053,0.12015296270586283,0.01429105387069285,0.01429105387069285,0.0822606938911482,0.10120682829850552
0,2,0.0,0.0,stage0,0,uniform,0.5,fixed,stage1,,,3,16,False,0.2559981790488201,0.14886065759574726,0.023570539662614465,0.023570539662614465,0.131345506525033,0.14010308206039013
0,2,0.0,0.0,stage0,0,uniform,0.5,fixed,stage1,,,4,9,False,0.3778305024468295,0.7586900896411044,0.14740743464790285,0.14740743464790285,0.786393880434164,0.7725419850376343
