round,agent_id,alpha,base_loss,loss_without_agent,marginal_contribution,positive_contribution,contribution_share
0,11,0.268562117733154,0.023189324885606766,0.23853644728660583,0.21534712240099907,0.21534712240099907,0.29350100043630034
0,3,0.22023899759871618,0.023189324885606766,0.18083715438842773,0.15764782950282097,0.15764782950282097,0.21486145326581155
0,2,0.17822728069698074,0.023189324885606766,0.09337107837200165,0.07018175348639488,0.07018175348639488,0.09565214817346983
0,5,0.10485910784090262,0.023189324885606766,0.12349575757980347,0.1003064326941967,0.1003064326941967,0.13670969000051322
0,1,0.12667541661526577,0.023189324885606766,0.16962039470672607,0.1464310698211193,0.1464310698211193,0.1995739019322827
0,9,0.1014370795149806,0.023189324885606766,0.06699364632368088,0.04380432143807411,0.04380432143807411,0.05970180619162239
1,11,0.2810315590847272,0.021796315908432007,0.24751690030097961,0.2257205843925476,0.2257205843925476,0.35253746896313976
1,3,0.21755022543226388,0.021796315908432007,0.059504956007003784,0.03770864009857178,0.03770864009857178,0.058894533585264634
1,2,0.1369397144352253,0.021796315908432007,0.09578260779380798,0.07398629188537598,0.07398629188537598,0.11555410486567785
1,5,0.12078439892070791,0.021796315908432007,0.12676756083965302,0.10497124493122101,0.10497124493122101,0.1639473737034338
1,1,0.16312465927377423,0.021796315908432007,0.19046059250831604,0.16866427659988403,0.16866427659988403,0.26342514280228485
1,9,0.08056944285330149,0.021796315908432007,0.05101930350065231,0.029222987592220306,0.029222987592220306,0.0456413760801991
2,11,0.3167845140239335,0.032519400119781494,0.17231754958629608,0.1397981494665146,0.1397981494665146,0.18814375075015785
2,3,0.13822237950876426,0.032519400119781494,0.13950228691101074,0.10698288679122925,0.10698288679122925,0.1439801718677444
2,2,0.12624690965045157,0.032519400119781494,0.12276279926300049,0.090243399143219,0.090243399143219,0.12145176213019662
2,5,0.14236588631207087,0.032519400119781494,0.09257854521274567,0.06005914509296417,0.06005914509296417,0.08082905866607921
2,1,0.21327490103802954,0.032519400119781494,0.27989137172698975,0.24737197160720825,0.24737197160720825,0.3329192177882845
2,9,0.06310540946675029,0.032519400119781494,0.13110287487506866,0.09858347475528717,0.09858347475528717,0.13267603879753745
3,11,0.25246413238704574,0.014966284856200218,0.202249675989151,0.18728339113295078,0.18728339113295078,0.23449442401127257
3,3,0.14110127568825434,0.014966284856200218,0.11173751205205917,0.09677122719585896,0.09677122719585896,0.12116564658981357
3,2,0.12384933589032411,0.014966284856200218,0.08457276970148087,0.06960648484528065,0.06960648484528065,0.08715312379011966
3,5,0.11159747248907505,0.014966284856200218,0.19118502736091614,0.17621874250471592,0.17621874250471592,0.2206405612033145
3,1,0.27309705941315704,0.014966284856200218,0.24366021156311035,0.22869392670691013,0.22869392670691013,0.2863438679404488
3,9,0.09789072413214388,0.014966284856200218,0.05506135895848274,0.040095074102282524,0.040095074102282524,0.05020237646503094
