seed,D,rho,target_T,agent_id,is_poisoned,mse,bid,alpha_pre,cost_performance,diversity,selection_score,selected,reason
1,2,0.0,0.0,18,False,0.0017816175080797038,1.1400000000000001,0.01395328089995329,0.012239720087678322,0.0,0.0,False,not_selected_by_coalition_rule
1,2,0.0,0.0,19,False,0.0009296827923529147,1.3,0.02660359704248116,0.0204643054172932,0.0,0.0,False,not_selected_by_coalition_rule
1,2,0.0,0.0,20,False,0.0024309766886551534,1.06,0.010241368740511615,0.009661668623124163,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,1,False,0.0005620415435039275,1.22,0.03486464917167884,0.028577581288261347,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,2,False,0.0003974704627755306,1.3800000000000001,0.04894594712470474,0.035468077626597636,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,3,False,0.0007052003633850675,1.1400000000000001,0.027885930638365922,0.02446134266523326,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,4,False,0.00229155490295829,1.3,0.008665458164936737,0.006665737049951336,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,5,False,0.0016178618450982418,1.06,0.012251670979293989,0.011558180169145272,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,6,False,0.0004817688692548192,1.22,0.0405556938895124,0.03324237204058393,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,7,False,0.0005083542743011319,1.3800000000000001,0.03847566946907019,0.027880919905123324,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,8,False,0.00040860496239363345,1.1400000000000001,0.047644030810929106,0.04179300948327114,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,9,False,0.0015144099187642357,1.3,0.013083113328242931,0.01006393332941764,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,10,False,6.989639806644485e-05,1.06,0.24962361518855822,0.23549397659297944,1.0,0.35324096488946916,True,selected
2,2,0.0,0.0,11,False,0.0008353669402856613,1.22,0.023592154809307694,0.019337831810907948,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,12,False,0.0013747679445267277,1.3800000000000001,0.014402433133088133,0.010436545748614589,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,13,False,0.0007542731463522287,1.1400000000000001,0.026095418661613603,0.022890718124222456,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,14,False,0.0005623180326708499,1.3,0.03484780591800827,0.026806004552314053,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,15,False,0.0007280990314578372,1.06,0.027020801919355138,0.025491322565429374,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,16,False,0.0010317870429739175,1.22,0.01914405430591386,0.015691847791732674,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,17,False,0.00021720589676486597,1.3800000000000001,0.08777953393758108,0.06360835792578338,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,18,False,0.0003020834927577019,1.1400000000000001,0.06390606420626806,0.05605795105812987,0.5895010908525089,0.07258106270799193,True,selected
2,2,0.0,0.0,19,False,0.00047467572240072087,1.3,0.0411492195794382,0.03165324583033707,0.0,0.0,False,not_selected_by_coalition_rule
2,2,0.0,0.0,20,False,0.00013238946713132918,1.06,0.14006673476413284,0.13213842902276682,0.41854127812017017,0.15979112250875693,True,selected
