seed,dimension,poison_ratio,target,initialization,evaluator,update_rate,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,converged,stop_reason,final_target_error,final_evaluation_loss,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
0,2,0.3,0.0,uniform,uniform,0.1,"[9, 7, 6]","[0.4189443364079017, 0.31581136992161585, 0.26524429367048247]","[0.2295388686782894, 0.5355419976182146, 0.23491913370349599]","[0.07915772370824291, 0.828509166523464, 0.09233310976829313]",6,False,max_rounds,0.00523344605365178,0.015949564054608345,0.5859343378104986,0.0,1611,4284,ok,10.0
0,2,0.3,0.0,uniform,uniform,0.3,"[9, 7, 6]","[0.4189443364079017, 0.31581136992161585, 0.26524429367048247]","[0.07487086373243802, 0.8479856647751983, 0.07714347149236367]","[0.006666666666666667, 0.9866666666666667, 0.006666666666666667]",6,False,max_rounds,0.06546823657698297,0.043600231409072876,0.27736200378293674,0.0,1212,4284,ok,10.0
0,2,0.3,0.0,uniform,uniform,0.5,"[9, 7, 6]","[0.4189443364079017, 0.31581136992161585, 0.26524429367048247]","[0.023230140144335498, 0.95228167306518, 0.024488186790484385]","[0.006666666666666667, 0.9866666666666667, 0.006666666666666667]",6,False,max_rounds,0.06546810506529965,0.04360016683737437,0.06876998720297327,0.0,1236,4284,ok,10.0
0,2,0.3,0.0,uniform,uniform,1.0,"[9, 7, 6]","[0.4189443364079017, 0.31581136992161585, 0.26524429367048247]","[0.006666666666666667, 0.9866666666666667, 0.006666666666666667]","[0.006666666666666667, 0.9866666666666667, 0.006666666666666667]",3,True,fixed_point_tolerance,0.06546825757881436,0.04360023265083631,0.0,0.0,696,2142,ok,10.0
1,2,0.3,0.0,uniform,uniform,0.1,"[12, 3, 8]","[0.5072287380619492, 0.3439418415041946, 0.14882942043385614]","[0.23728995365877392, 0.23224988814839345, 0.5304601581928328]","[0.10293431684215057, 0.09084367467006581, 0.8062220084877837]",6,False,max_rounds,0.008980181425066291,0.0018249712884426117,0.551523700589902,0.0,1980,450,ok,10.0
1,2,0.3,0.0,uniform,uniform,0.3,"[12, 3, 8]","[0.5072287380619492, 0.3439418415041946, 0.14882942043385614]","[0.13229674549312792, 0.12174695459518876, 0.7459562999116833]","[0.08957825389333196, 0.07678672601261317, 0.8336350200940549]",6,False,max_rounds,0.023905920665036717,0.014211403826872507,0.1753574403647431,0.0,1383,450,ok,10.0
1,2,0.3,0.0,uniform,uniform,0.5,"[12, 3, 8]","[0.5072287380619492, 0.3439418415041946, 0.14882942043385614]","[0.09752381032541521, 0.08514924116761745, 0.8173269485069674]","[0.08957820714585686, 0.07678667681197224, 0.8336351160421709]",6,False,max_rounds,0.023906001825213963,0.01421144480506579,0.03261633507040704,0.0,1227,450,ok,10.0
1,2,0.3,0.0,uniform,uniform,1.0,"[12, 3, 8]","[0.5072287380619492, 0.3439418415041946, 0.14882942043385614]","[0.0895782354776621, 0.07678670663054477, 0.8336350578917932]","[0.0895782354776621, 0.07678670663054477, 0.8336350578917932]",3,True,fixed_point_tolerance,0.023905933386433986,0.014211419969797134,2.9075186300242528e-08,0.0,702,225,ok,10.0
2,2,0.3,0.0,uniform,uniform,0.1,"[8, 10, 7]","[0.38587036343018155, 0.3224395083247625, 0.2916901282450559]","[0.3793443341278618, 0.3964294215410865, 0.22422624433105162]","[0.4459149242804287, 0.4877194121036923, 0.06636566361587909]",6,False,max_rounds,0.011144139379414053,0.018500560894608498,0.31572116143034523,0.0,1125,936,ok,10.0
2,2,0.3,0.0,uniform,uniform,0.3,"[8, 10, 7]","[0.38587036343018155, 0.3224395083247625, 0.2916901282450559]","[0.4278822966829513, 0.46299079847085645, 0.10912690484619221]","[0.44818187497357553, 0.49082814085176224, 0.060989984174662226]",6,False,max_rounds,0.011770166148878936,0.018617790813247364,0.09627384134306001,0.0,1080,936,ok,10.0
2,2,0.3,0.0,uniform,uniform,0.5,"[8, 10, 7]","[0.38587036343018155, 0.3224395083247625, 0.2916901282450559]","[0.44626955995913764, 0.4882057332807812, 0.06552470676008124]","[0.46966131226737934, 0.5202834547275673, 0.010055233005053394]",6,False,max_rounds,0.01838379479291552,0.019535070285201073,0.11093894751005565,0.0,1452,936,ok,10.0
2,2,0.3,0.0,uniform,uniform,1.0,"[8, 10, 7]","[0.38587036343018155, 0.3224395083247625, 0.2916901282450559]","[0.4671709128102242, 0.5261624205231091, 0.006666666666666667]","[0.4671709128102242, 0.5261624205231091, 0.006666666666666667]",4,True,fixed_point_tolerance,0.0180540397577742,0.020553387080629665,4.7495738930870314e-05,0.0,1005,624,ok,10.0
3,2,0.3,0.0,uniform,uniform,0.1,"[4, 1, 13]","[0.44888819639277083, 0.35541821000891527, 0.19569359359831393]","[0.3847971240652669, 0.20730351829955992, 0.4078993576351733]","[0.46053094985556753, 0.02183874937360779, 0.5176303007708246]",6,False,max_rounds,0.004272977150346753,0.015751903255780537,0.370929537851904,0.0,1323,234,ok,10.0
3,2,0.3,0.0,uniform,uniform,0.3,"[4, 1, 13]","[0.44888819639277083, 0.35541821000891527, 0.19569359359831393]","[0.43867598037674094, 0.07535944269626617, 0.4859645769269929]","[0.46041315030896096, 0.02212722899896659, 0.5174596206920725]",6,False,max_rounds,0.004259110076131903,0.0156959630548954,0.10646442739459921,0.0,1191,234,ok,10.0
